                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      0,                 120.84,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 99.319,                      0,                  4e-05,                  4e-05,                  4e-05
                      2,                      0,                      0,                 118.77,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 99.715,                      0,               8.02e-05,               8.02e-05,               8.02e-05
                      3,                      0,                      0,                 116.94,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 99.858,                      0,              9.664e-05,              9.664e-05,              9.664e-05
                      4,                      0,                      0,                 115.51,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    100,                      0,              8.932e-05,              8.932e-05,              8.932e-05
                      5,                      0,                      0,                 114.24,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 100.13,                      0,              5.824e-05,              5.824e-05,              5.824e-05
